Countries,Country Code,1990,2000,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,18.449,12.096,7.395,7.331,7.077,7.027,6.981,6.791,7.113,7.344
Albania,ALB,5.526,5.798,7.868,7.947,8.035,8.15,8.308,8.48,10.785,11.325
Algeria,DZA,5.731,5.037,4.555,4.437,4.472,4.542,4.482,4.392,5.398,4.546
American Samoa,ASM,..,..,4.2,..,..,5.1,..,..,5.6,..
Andorra,AND,..,..,..,..,4.3,..,4.4,3.9,..,..
Angola,AGO,21.993,18.287,9.181,8.826,8.555,8.242,7.99,7.811,7.821,8.009
Antigua and Barbuda,ATG,7.666,6.587,5.544,5.649,5.662,5.746,5.787,5.865,5.961,6.365
Argentina,ARG,7.743,7.6,7.447,7.543,7.947,7.692,7.68,7.6,8.509,8.955
Armenia,ARM,7.524,8.27,9.704,9.607,9.634,9.664,9.75,9.662,12.792,13.007
Aruba,ABW,7.1,6.335,7.729,7.968,8.336,8.414,8.597,8.778,9.69,11.235
Australia,AUS,7,6.7,6.6,6.6,6.6,6.5,6.3,6.7,6.3,6.7
Austria,AUT,10.8,9.6,9.2,9.6,9.2,9.5,9.5,9.4,10.3,10.3
Azerbaijan,AZE,6.1,5.8,5.8,5.7,5.8,5.8,5.8,5.6,7.5,7.6
"Bahamas, The",BHS,5.855,5.706,6.483,6.724,6.717,6.84,6.935,7.943,8.076,8.986
Bahrain,BHR,3.206,2.595,2.028,2.109,2.071,2.039,1.992,2,2.239,2.479
Bangladesh,BGD,11.725,6.855,5.891,5.776,5.632,5.442,5.241,5.28,5.816,5.68
Barbados,BRB,9.701,9.47,8.797,8.772,8.792,8.85,8.927,8.91,8.973,9.007
Belarus,BLR,10.8,13.5,12.8,12.6,12.6,12.6,12.7,12.8,16.553,16.544
Belgium,BEL,10.4,10.2,9.3,9.8,9.5,9.6,9.7,9.5,11,9.7
Belize,BLZ,5.555,5.858,4.584,4.7,4.695,4.712,4.74,4.727,5.244,6.353
Benin,BEN,14.75,11.964,9.996,9.857,9.761,9.592,9.428,9.248,9.364,9.434
Bermuda,BMU,7.3,8,7.8,7.7,7.7,7.5,8.3,8.4,8.8,11.3
Bhutan,BTN,11.543,8.368,6.705,6.759,6.837,6.94,6.766,6.626,6.545,6.477
Bolivia,BOL,11.925,9.826,7.262,7.216,7.104,7.107,7.124,7.127,9.3,9.945
Bosnia and Herzegovina,BIH,7.378,8.358,12.276,12.011,11.613,11.842,12.056,12.266,14.094,15.712
Botswana,BWA,7.986,13.128,7.927,7.435,6.783,6.308,6.922,6.974,6.95,9.461
Brazil,BRA,7.158,6.399,6.272,6.433,6.538,6.493,6.516,6.572,7.42,8.326
British Virgin Islands,VGB,4.952,4.953,5.553,5.62,5.718,6.143,5.988,6.156,6.38,7.613
Brunei Darussalam,BRN,3.87,3.331,4.162,4.29,4.42,4.556,4.7,4.834,4.975,5.211
Bulgaria,BGR,12.5,14.1,15.1,15.3,15.1,15.5,15.4,15.5,18,21.7
Burkina Faso,BFA,17.079,15.314,9.96,9.634,9.313,9.113,8.809,8.75,8.813,8.958
Burundi,BDI,19.067,15.907,8.798,8.553,8.18,7.772,7.648,7.352,7.562,7.474
Cabo Verde,CPV,8.315,5.844,5.401,5.695,5.198,4.868,5.275,5.162,5.692,6.028
Cambodia,KHM,12.246,9.273,5.756,5.81,5.779,5.775,5.874,5.947,6.228,6.838
Cameroon,CMR,13.09,13.426,9.548,9.179,8.886,8.594,8.379,8.16,8.419,8.582
Canada,CAN,7.3,7.1,7.3,7.4,7.4,7.5,7.7,7.6,8.1,7.8
Cayman Islands,CYM,4.1,3.4,2.9,2.9,3.1,3.4,3.3,3.9,3.3,4
Central African Republic,CAF,16.088,17.325,13.517,12.15,11.711,11.544,11.23,10.873,11.041,11.393
Chad,TCD,20.737,18.088,14.022,13.693,13.291,13.043,12.671,12.369,12.486,12.504
Channel Islands,CHI,9.907468652,8.932872696,8.066520831,8.477711326,8.612212239,8.812759132,8.717019712,8.547311257,8.473932431,8.449007719
Chile,CHL,5.625,4.959,6.12,6.121,6.107,6.139,6.327,6.346,7.221,7.426
China,CHN,6.67,6.45,7.12,7.07,7.04,7.06,7.08,7.09,7.07,7.18
Colombia,COL,5.834,5.351,5.106,5.168,5.213,5.249,5.311,5.411,6.606,7.735
Comoros,COM,12.806,10.51,8.865,8.685,8.516,8.326,8.235,8.203,8.274,8.718
"Congo, Dem. Rep.",COD,16.833,14.637,10.551,10.396,10.077,9.865,9.573,9.38,9.537,9.7
"Congo, Rep.",COG,11.146,12.204,7.358,7.196,7.02,6.924,6.797,7.388,6.923,7.063
Costa Rica,CRI,3.758,3.995,5.059,5.034,4.986,5.18,5.276,5.468,5.627,7.192
Cote d'Ivoire,CIV,13.882,14.291,9.847,9.543,9.374,9.17,8.961,8.728,8.817,9.001
Croatia,HRV,10.9,11.2,12,12.9,12.3,13,12.9,12.7,14.1,16.2
Cuba,CUB,6.841,7.244,8.833,9.063,9.348,9.622,9.815,9.861,10.23,14.652
Curacao,CUW,6.864,8.084,8.8,8.8,9.3,8.9,8.8,8.8,9.3,11.1
Cyprus,CYP,8.835,7.458,6.317,6.358,6.462,6.453,6.612,6.769,6.93,7.257
Czechia,CZE,12.5,10.6,10,10.5,10.2,10.5,10.6,10.5,12.1,13.3
Denmark,DNK,11.9,10.9,9.1,9.2,9.2,9.2,9.5,9.3,9.4,9.8
Djibouti,DJI,11.711,10.831,8.672,8.598,8.568,8.37,8.347,8.421,8.821,9.147
Dominica,DMA,9.915,9.141,12.401,10.93,10.714,11.455,8.417,8.369,8.177,8.986
Dominican Republic,DOM,6.078,6.169,5.827,5.883,5.964,6.032,6.06,6.006,6.46,6.678
Ecuador,ECU,5.678,5.007,4.752,4.773,4.86,4.872,4.911,4.913,7.534,6.719
"Egypt, Arab Rep.",EGY,8.194,6.384,5.823,5.823,5.662,5.482,5.511,5.581,5.851,6.327
El Salvador,SLV,7.812,5.876,7.168,7.07,6.925,6.857,6.938,7.451,8.442,8.661
Equatorial Guinea,GNQ,16.246,13.738,9.965,9.616,9.345,9.096,8.85,8.582,9.026,9.042
Eritrea,ERI,15.215,11.084,6.806,6.654,6.58,6.504,6.353,6.309,6.424,6.729
Estonia,EST,12.4,13.2,11.8,11.6,11.7,11.8,11.9,11.6,11.9,14
Eswatini,SWZ,7.155,14.521,12.193,11.202,10.45,9.936,9.324,8.923,9.603,11.356
Ethiopia,ETH,20.055,14.758,7.502,7.208,6.93,6.767,6.569,6.439,6.616,6.776
Faroe Islands,FRO,7.5,7.7,8.1,7.7,7.7,8.9,7.7,8,7,8.1
Fiji,FJI,6.159,6.457,7.584,8.05,7.885,7.703,7.832,7.941,8.078,8.859
Finland,FIN,10,9.5,9.6,9.6,9.8,9.8,9.9,9.8,10,10.4
France,FRA,9.3,8.9,8.4,8.9,8.9,9.1,9.1,9.1,9.9,9.7
French Polynesia,PYF,3.275,2.284,2.952,3.037,3.126,3.219,3.31,3.391,3.859,5.376
Gabon,GAB,11.437,10.002,7.659,7.418,7.238,7.054,6.986,6.856,6.909,7.258
"Gambia, The",GMB,16.102,11.841,7.916,7.74,7.454,7.396,7.323,6.999,7.373,7.543
Georgia,GEO,10.499,11.188,12.576,12.531,12.411,12.603,12.963,12.88,13.976,15.166
Germany,DEU,11.6,10.2,10.7,11.3,11.1,11.3,11.5,11.3,11.9,12.3
Ghana,GHA,11.492,9.922,7.817,7.773,7.46,7.39,7.373,7.143,7.448,7.627
Gibraltar,GIB,7.359,6.637,7.395,8.606,8.032,8.182,8.191,8.283,8.685,11.546
Greece,GRC,9.2,9.7,10.4,11.2,11,11.6,11.2,11.7,12.2,13.5
Greenland,GRL,8.4,8,8.2,8.4,8.7,8.9,8.7,9.8,9.2,9.4
Grenada,GRD,7.348,7.131,7.502,7.572,7.82,7.9,7.956,8.008,8.061,8.151
Guam,GUM,4.486,4.663,5.71,5.958,6.046,6.127,6.21,6.304,7.178,7.337
Guatemala,GTM,8.595,6.19,5.071,5.071,5.038,5.015,4.995,4.892,5.337,6.504
